,0
0,a
1,abbastanza
2,abbia
3,abbiamo
4,abbiano
5,abbiate
6,accidenti
7,ad
8,adesso
9,affinché
10,agl
11,agli
12,ahime
13,ahimè
14,ai
15,al
16,alcuna
17,alcuni
18,alcuno
19,all
20,alla
21,alle
22,allo
23,allora
24,altre
25,altri
26,altrimenti
27,altro
28,altrove
29,altrui
30,anche
31,ancora
32,anni
33,anno
34,ansa
35,anticipo
36,assai
37,attesa
38,attraverso
39,avanti
40,avemmo
41,avendo
42,avente
43,aver
44,avere
45,averlo
46,avesse
47,avessero
48,avessi
49,avessimo
50,aveste
51,avesti
52,avete
53,aveva
54,avevamo
55,avevano
56,avevate
57,avevi
58,avevo
59,avrai
60,avranno
61,avrebbe
62,avrebbero
63,avrei
64,avremmo
65,avremo
66,avreste
67,avresti
68,avrete
69,avrà
70,avrò
71,avuta
72,avute
73,avuti
74,avuto
75,basta
76,ben
77,bene
78,benissimo
79,brava
80,bravo
81,buono
82,c
83,caso
84,cento
85,certa
86,certe
87,certi
88,certo
89,che
90,chi
91,chicchessia
92,chiunque
93,ci
94,ciascuna
95,ciascuno
96,cima
97,cinque
98,cio
99,cioe
100,cioè
101,circa
102,citta
103,città
104,ciò
105,co
106,codesta
107,codesti
108,codesto
109,cogli
110,coi
111,col
112,colei
113,coll
114,coloro
115,colui
116,come
117,cominci
118,comprare
119,comunque
120,con
121,concernente
122,conclusione
123,consecutivi
124,consecutivo
125,consiglio
126,contro
127,cortesia
128,cos
129,cosa
130,cosi
131,così
132,cui
133,d
134,da
135,dagl
136,dagli
137,dai
138,dal
139,dall
140,dalla
141,dalle
142,dallo
143,dappertutto
144,davanti
145,degl
146,degli
147,dei
148,del
149,dell
150,della
151,delle
152,dello
153,dentro
154,detto
155,deve
156,devo
157,di
158,dice
159,dietro
160,dire
161,dirimpetto
162,diventa
163,diventare
164,diventato
165,dopo
166,doppio
167,dov
168,dove
169,dovra
170,dovrà
171,dovunque
172,due
173,dunque
174,durante
175,e
176,ebbe
177,ebbero
178,ebbi
179,ecc
180,ecco
181,ed
182,effettivamente
183,egli
184,ella
185,entrambi
186,eppure
187,era
188,erano
189,eravamo
190,eravate
191,eri
192,ero
193,esempio
194,esse
195,essendo
196,esser
197,essere
198,essi
199,ex
200,fa
201,faccia
202,facciamo
203,facciano
204,facciate
205,faccio
206,facemmo
207,facendo
208,facesse
209,facessero
210,facessi
211,facessimo
212,faceste
213,facesti
214,faceva
215,facevamo
216,facevano
217,facevate
218,facevi
219,facevo
220,fai
221,fanno
222,farai
223,faranno
224,fare
225,farebbe
226,farebbero
227,farei
228,faremmo
229,faremo
230,fareste
231,faresti
232,farete
233,farà
234,farò
235,fatto
236,favore
237,fece
238,fecero
239,feci
240,fin
241,finalmente
242,finche
243,fine
244,fino
245,forse
246,forza
247,fosse
248,fossero
249,fossi
250,fossimo
251,foste
252,fosti
253,fra
254,frattempo
255,fu
256,fui
257,fummo
258,fuori
259,furono
260,futuro
261,generale
262,gente
263,gia
264,giacche
265,giorni
266,giorno
267,giu
268,già
269,gli
270,gliela
271,gliele
272,glieli
273,glielo
274,gliene
275,grande
276,grazie
277,gruppo
278,ha
279,haha
280,hai
281,hanno
282,ho
283,i
284,ie
285,ieri
286,il
287,improvviso
288,in
289,inc
290,indietro
291,infatti
292,inoltre
293,insieme
294,intanto
295,intorno
296,invece
297,io
298,l
299,la
300,lasciato
301,lato
302,le
303,lei
304,li
305,lo
306,lontano
307,loro
308,lui
309,lungo
310,luogo
311,là
312,ma
313,macche
314,magari
315,maggior
316,mai
317,male
318,malgrado
319,malissimo
320,me
321,medesimo
322,mediante
323,meglio
324,meno
325,mentre
326,mesi
327,mezzo
328,mi
329,mia
330,mie
331,miei
332,mila
333,miliardi
334,milioni
335,minimi
336,mio
337,modo
338,molta
339,molti
340,moltissimo
341,molto
342,momento
343,mondo
344,ne
345,negl
346,negli
347,nei
348,nel
349,nell
350,nella
351,nelle
352,nello
353,nemmeno
354,neppure
355,nessun
356,nessuna
357,nessuno
358,niente
359,no
360,noi
361,nome
362,non
363,nondimeno
364,nonostante
365,nonsia
366,nostra
367,nostre
368,nostri
369,nostro
370,novanta
371,nove
372,nulla
373,nuovi
374,nuovo
375,o
376,od
377,oggi
378,ogni
379,ognuna
380,ognuno
381,oltre
382,oppure
383,ora
384,ore
385,osi
386,ossia
387,ottanta
388,otto
389,paese
390,parecchi
391,parecchie
392,parecchio
393,parte
394,partendo
395,peccato
396,peggio
397,per
398,perche
399,perchè
400,perché
401,percio
402,perciò
403,perfino
404,pero
405,persino
406,persone
407,però
408,piedi
409,pieno
410,piglia
411,piu
412,piuttosto
413,più
414,po
415,pochissimo
416,poco
417,poi
418,poiche
419,possa
420,possedere
421,posteriore
422,posto
423,potrebbe
424,preferibilmente
425,presa
426,press
427,prima
428,primo
429,principalmente
430,probabilmente
431,promesso
432,proprio
433,puo
434,pure
435,purtroppo
436,può
437,qua
438,qualche
439,qualcosa
440,qualcuna
441,qualcuno
442,quale
443,quali
444,qualunque
445,quando
446,quanta
447,quante
448,quanti
449,quanto
450,quantunque
451,quarto
452,quasi
453,quattro
454,quel
455,quella
456,quelle
457,quelli
458,quello
459,quest
460,questa
461,queste
462,questi
463,questo
464,qui
465,quindi
466,quinto
467,realmente
468,recente
469,recentemente
470,registrazione
471,relativo
472,riecco
473,rispetto
474,salvo
475,sara
476,sarai
477,saranno
478,sarebbe
479,sarebbero
480,sarei
481,saremmo
482,saremo
483,sareste
484,saresti
485,sarete
486,sarà
487,sarò
488,scola
489,scopo
490,scorso
491,se
492,secondo
493,seguente
494,seguito
495,sei
496,sembra
497,sembrare
498,sembrato
499,sembrava
500,sembri
501,sempre
502,senza
503,sette
504,si
505,sia
506,siamo
507,siano
508,siate
509,siete
510,sig
511,solito
512,solo
513,soltanto
514,sono
515,sopra
516,soprattutto
517,sotto
518,spesso
519,sta
520,stai
521,stando
522,stanno
523,starai
524,staranno
525,starebbe
526,starebbero
527,starei
528,staremmo
529,staremo
530,stareste
531,staresti
532,starete
533,starà
534,starò
535,stata
536,state
537,stati
538,stato
539,stava
540,stavamo
541,stavano
542,stavate
543,stavi
544,stavo
545,stemmo
546,stessa
547,stesse
548,stessero
549,stessi
550,stessimo
551,stesso
552,steste
553,stesti
554,stette
555,stettero
556,stetti
557,stia
558,stiamo
559,stiano
560,stiate
561,sto
562,su
563,sua
564,subito
565,successivamente
566,successivo
567,sue
568,sugl
569,sugli
570,sui
571,sul
572,sull
573,sulla
574,sulle
575,sullo
576,suo
577,suoi
578,tale
579,tali
580,talvolta
581,tanto
582,te
583,tempo
584,terzo
585,th
586,ti
587,titolo
588,tra
589,tranne
590,tre
591,trenta
592,triplo
593,troppo
594,trovato
595,tu
596,tua
597,tue
598,tuo
599,tuoi
600,tutta
601,tuttavia
602,tutte
603,tutti
604,tutto
605,uguali
606,ulteriore
607,ultimo
608,un
609,una
610,uno
611,uomo
612,va
613,vai
614,vale
615,vari
616,varia
617,varie
618,vario
619,verso
620,vi
621,vicino
622,visto
623,vita
624,voi
625,volta
626,volte
627,vostra
628,vostre
629,vostri
630,vostro
631,è
